,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,STATEMENT_TYPE,BANK_ID,CURR_ID,CATEGORY_TYPE,DATA_SOURCE,EXTRACTION_DATE,REPORT_DATE
59,Net other operating income (expense),0.0,0.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,9,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
60,Gjithsej të hyrat/Total income,0.0,0.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,10,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
61,Impairment losses on financial assets,0.0,0.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,11,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
62,Fitimi/(humbja) para tatimit / Profit/(loss) before taxation,0.0,0.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,14,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
63,Fitimi/(humbja) neto / Net profit/(loss),0.0,0.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,16,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
64,Total comprehensive income/(loss),-608.0,-819.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,19,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
65,Të hyrat nga interesi / Interest income,4.0,474.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,1,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
66,Shpenzimet e interesit / Interest expense,0.0,0.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,2,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
67,Neto të hyrat nga interesi / Net interest income,2.0,959.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,3,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
68,Fee and commission income,2.0,80.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,4,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
69,Fee and commission expense,0.0,0.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,5,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
70,Net fee and commission income,1.0,96.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,6,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
71,Net trading profit,0.0,0.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,7,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
72,Net other operating income (expense),0.0,0.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,9,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
73,Gjithsej të hyrat/Total income,0.0,0.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,10,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
74,Impairment losses on financial assets,0.0,0.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,11,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
75,Fitimi/(humbja) para tatimit / Profit/(loss) before taxation,0.0,0.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,14,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
76,Fitimi/(humbja) neto / Net profit/(loss),0.0,0.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,16,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
77,Total comprehensive income/(loss),-815.0,-46.0,2025-03-31,Bilanci-dhe-Treguesit-financiar-TM1-2025.pdf,19,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-03-31
78,Të hyrat nga interesi / Interest income,3.0,426.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,1,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
