INCOME_CATEGORY,PREVIOUS_INCOME_VALUE,CURRENT_INCOME_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Të hyrat nga tarifat dhe komisionet,54,17,2019-03-31,zba_is_31.12.2019.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,126,36,2019-03-31,zba_is_31.12.2019.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,72,19,2019-03-31,zba_is_31.12.2019.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,1,0,2019-03-31,zba_is_31.12.2019.pdf,7,9,INCOME_STATEMENT
Neto të hyrat nga instrumentet tjera financiare,3,1,2019-03-31,zba_is_31.12.2019.pdf,8,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,1275,395,2019-03-31,zba_is_31.12.2019.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,238,8,2019-03-31,zba_is_31.12.2019.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,276,22,2019-03-31,zba_is_31.12.2019.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,514,14,2019-03-31,zba_is_31.12.2019.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,458,14,2019-03-31,zba_is_31.12.2019.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,458,14,2019-03-31,zba_is_31.12.2019.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,586,1160,2019-06-30,zba_is_31.12.2019.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,165,345,2019-06-30,zba_is_31.12.2019.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,421,815,2019-06-30,zba_is_31.12.2019.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,17,37,2019-06-30,zba_is_31.12.2019.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,36,70,2019-06-30,zba_is_31.12.2019.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,19,32,2019-06-30,zba_is_31.12.2019.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,0,0,2019-06-30,zba_is_31.12.2019.pdf,7,9,INCOME_STATEMENT
Neto të hyrat nga instrumentet tjera financiare,1,5,2019-06-30,zba_is_31.12.2019.pdf,8,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,395,755,2019-06-30,zba_is_31.12.2019.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,8,33,2019-06-30,zba_is_31.12.2019.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,22,139,2019-06-30,zba_is_31.12.2019.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,14,106,2019-06-30,zba_is_31.12.2019.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,14,106,2019-06-30,zba_is_31.12.2019.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,14,106,2019-06-30,zba_is_31.12.2019.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,1160,1959,2019-09-30,zba_is_31.12.2019.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,345,556,2019-09-30,zba_is_31.12.2019.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,815,1403,2019-09-30,zba_is_31.12.2019.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,37,63,2019-09-30,zba_is_31.12.2019.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,70,110,2019-09-30,zba_is_31.12.2019.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,32,47,2019-09-30,zba_is_31.12.2019.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,5,5,2019-09-30,zba_is_31.12.2019.pdf,7,9,INCOME_STATEMENT
Neto të hyrat nga instrumentet tjera financiare,0,0,2019-09-30,zba_is_31.12.2019.pdf,8,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,755,1168,2019-09-30,zba_is_31.12.2019.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,33,193,2019-09-30,zba_is_31.12.2019.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,139,178,2019-09-30,zba_is_31.12.2019.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,106,15,2019-09-30,zba_is_31.12.2019.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,106,15,2019-09-30,zba_is_31.12.2019.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,106,15,2019-09-30,zba_is_31.12.2019.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,1959,2579,2019-12-31,zba_is_31.12.2019.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,556,779,2019-12-31,zba_is_31.12.2019.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,1403,1800,2019-12-31,zba_is_31.12.2019.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,63,188,2019-12-31,zba_is_31.12.2019.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,110,154,2019-12-31,zba_is_31.12.2019.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,47,34,2019-12-31,zba_is_31.12.2019.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,5,8,2019-12-31,zba_is_31.12.2019.pdf,7,9,INCOME_STATEMENT
Neto të hyrat nga instrumentet tjera financiare,0,0,2019-12-31,zba_is_31.12.2019.pdf,8,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,1168,1620,2019-12-31,zba_is_31.12.2019.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,193,221,2019-12-31,zba_is_31.12.2019.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,178,219,2019-12-31,zba_is_31.12.2019.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,15,10,2019-12-31,zba_is_31.12.2019.pdf,14,9,INCOME_STATEMENT
Shpenzimet e tatimit në fitim,0,4,2019-12-31,zba_is_31.12.2019.pdf,15,9,INCOME_STATEMENT
Fitimi/(humbja) neto,15,14,2019-12-31,zba_is_31.12.2019.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,15,14,2019-12-31,zba_is_31.12.2019.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,2579,744,2020-03-31,zba_is_31.12.2020.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,779,220,2020-03-31,zba_is_31.12.2020.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,1800,524,2020-03-31,zba_is_31.12.2020.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,188,239,2020-03-31,zba_is_31.12.2020.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,154,37,2020-03-31,zba_is_31.12.2020.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,34,202,2020-03-31,zba_is_31.12.2020.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,8,2,2020-03-31,zba_is_31.12.2020.pdf,7,9,INCOME_STATEMENT
