BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,44,Gjithsej ekuiteti i aksionarëve,8941,8765,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,45,Gjithsej detyrimet dhe ekuiteti i aksionarëve,17424,16517,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,1,Të hyrat nga interesi,106,222,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,10,Gjithsej të hyrat,339,499,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,12,Provizionet për humbjet nga kreditë,43,58,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,14,Fitimi/(humbja) para tatimit,382,557,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,16,Fitimi/(humbja) neto,382,557,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,19,Gjithsej të ardhurat gjithëpërfshirëse,382,557,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,2,Shpenzimet e interesit,16,35,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,3,Neto të hyrat nga interesi,90,187,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
