BALANCE_CATEGORY,PREVIOUS_BALANCE_VALUE,CURRENT_BALANCE_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Fitimi/(humbja) e vitit aktual,1243.0,1052.0,2020-06-30,be_bs_30.06.2020.pdf,42,3,BALANCE_SHEET
Përbërësit tjerë të ekuitetit,0.0,0.0,2020-06-30,be_bs_30.06.2020.pdf,43,3,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,34635.0,34005.0,2020-06-30,be_bs_30.06.2020.pdf,44,3,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,317148.0,319621.0,2020-06-30,be_bs_30.06.2020.pdf,45,3,BALANCE_SHEET
,0.0,0.0,2021-06-30,be_bs_30.06.2021.pdf,,3,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,51898.0,39805.0,2021-06-30,be_bs_30.06.2021.pdf,20,3,BALANCE_SHEET
Kërkesat ndaj bankave,18066.0,23969.0,2021-06-30,be_bs_30.06.2021.pdf,21,3,BALANCE_SHEET
Bonot e thesarit,0.0,0.0,2021-06-30,be_bs_30.06.2021.pdf,22,3,BALANCE_SHEET
Investimet në letra me vlerë,39032.0,37812.0,2021-06-30,be_bs_30.06.2021.pdf,23,3,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,259524.0,296920.0,2021-06-30,be_bs_30.06.2021.pdf,26,3,BALANCE_SHEET
Patundshmëritë dhe pajisjet,8361.0,13756.0,2021-06-30,be_bs_30.06.2021.pdf,27,3,BALANCE_SHEET
Pasuritë e paprekshme,690.0,782.0,2021-06-30,be_bs_30.06.2021.pdf,28,3,BALANCE_SHEET
Pasuritë tatimore të shtyra,0.0,0.0,2021-06-30,be_bs_30.06.2021.pdf,29,3,BALANCE_SHEET
Pasuritë tjera,3751.0,4036.0,2021-06-30,be_bs_30.06.2021.pdf,30,3,BALANCE_SHEET
Gjithsej pasuritë,381322.0,417080.0,2021-06-30,be_bs_30.06.2021.pdf,31,3,BALANCE_SHEET
Depozitat e klientëve,342329.0,370850.0,2021-06-30,be_bs_30.06.2021.pdf,32,3,BALANCE_SHEET
Detyrimet ndaj bankave,2082.0,2113.0,2021-06-30,be_bs_30.06.2021.pdf,33,3,BALANCE_SHEET
Fondet tjera të huazuara,0.0,0.0,2021-06-30,be_bs_30.06.2021.pdf,34,3,BALANCE_SHEET
Detyrimet tatimore të shtyra,0.0,0.0,2021-06-30,be_bs_30.06.2021.pdf,35,3,BALANCE_SHEET
Detyrimet tjera,2326.0,2382.0,2021-06-30,be_bs_30.06.2021.pdf,36,3,BALANCE_SHEET
Gjithsej detyrimet,346737.0,375345.0,2021-06-30,be_bs_30.06.2021.pdf,37,3,BALANCE_SHEET
Kapitali aksionar,29422.0,29422.0,2021-06-30,be_bs_30.06.2021.pdf,38,3,BALANCE_SHEET
Rezervat e kapitalit,88.0,5522.0,2021-06-30,be_bs_30.06.2021.pdf,40,3,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,4009.0,4009.0,2021-06-30,be_bs_30.06.2021.pdf,41,3,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,1066.0,2.782,2021-06-30,be_bs_30.06.2021.pdf,42,3,BALANCE_SHEET
Përbërësit tjerë të ekuitetit,0.0,0.0,2021-06-30,be_bs_30.06.2021.pdf,43,3,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,34585.0,41735.0,2021-06-30,be_bs_30.06.2021.pdf,44,3,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,381322.0,417080.0,2021-06-30,be_bs_30.06.2021.pdf,45,3,BALANCE_SHEET
,0.0,0.0,2022-06-30,be_bs_30.06.2022.pdf,,3,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,55448.0,54280.0,2022-06-30,be_bs_30.06.2022.pdf,20,3,BALANCE_SHEET
Kërkesat ndaj bankave,17112.0,21433.0,2022-06-30,be_bs_30.06.2022.pdf,21,3,BALANCE_SHEET
Bonot e thesarit,0.0,0.0,2022-06-30,be_bs_30.06.2022.pdf,22,3,BALANCE_SHEET
Investimet në letra me vlerë,5010.0,9993.0,2022-06-30,be_bs_30.06.2022.pdf,23,3,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,336354.0,347769.0,2022-06-30,be_bs_30.06.2022.pdf,26,3,BALANCE_SHEET
Patundshmëritë dhe pajisjet,14036.0,13683.0,2022-06-30,be_bs_30.06.2022.pdf,27,3,BALANCE_SHEET
Pasuritë e paprekshme,815.0,702.0,2022-06-30,be_bs_30.06.2022.pdf,28,3,BALANCE_SHEET
